<__main__.charater_config object at 0x7e225ab93260> is 8000 years old, and she likes sing
<__main__.charater_config object at 0x7e225abda690> is 17 years old, and she likes play game and Yachio
<__main__.charater_config object at 0x7e225aaa7f20> is 8000 years old, and she likes Iroha
Yachiyo is 8000 years old, and she likes sing
Iroha is 17 years old, and she likes play game and Yachio
Kaguya is 8000 years old, and she likes Iroha
Yachiyo is 8000 years old, and she likes sing
Iroha is 17 years old, and she likes play game and Yachio
Kaguya is 8000 years old, and she likes Iroha
Yachiyo is 8000 years old, and she likes sing
Iroha is 17 years old, and she likes play game and Yachio
Kaguya is 8000 years old, and she likes Iroha
Yachiyo is 8000 years old, and she likes sing
Iroha is 17 years old, and she likes play game and Yachio
Kaguya is 8000 years old, and she likes Iroha
Yachiyo is 8000 years old, and she likes sing
Iroha is 17 years old, and she likes play game and Yachio
Kaguya is 8000 years old, and she likes Iroha
